epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.084,1.69473,2.89396,1.78079,0.51011,0.54263,0.49675,0.21825,1.76111,2.66439,1.91678,0.00033033,0.00033033,0.00033033
2,435.71,1.60137,2.18062,1.67539,0.60295,0.6797,0.60463,0.30929,1.66808,2.28541,1.79876,0.000657093,0.000657093,0.000657093
3,654.319,1.58818,2.05569,1.6713,0.3473,0.5501,0.43557,0.18361,1.92997,2.48984,2.08358,0.000977256,0.000977256,0.000977256
4,872.811,1.59255,2.00648,1.67163,0.5867,0.57015,0.62547,0.27951,1.68923,1.96163,1.75687,0.0009703,0.0009703,0.0009703
5,1120.65,1.57211,1.85227,1.64901,0.62987,0.56034,0.56613,0.23094,1.92521,2.08961,2.03659,0.0009604,0.0009604,0.0009604
6,1374.69,1.54386,1.81594,1.62627,0.66976,0.75192,0.70181,0.39988,1.51195,1.67368,1.64052,0.0009505,0.0009505,0.0009505
7,1618.18,1.5257,1.74062,1.60957,0.57368,0.70249,0.71256,0.36998,1.60368,1.62629,1.6394,0.0009406,0.0009406,0.0009406
8,1868.52,1.50504,1.70569,1.6062,0.73012,0.66111,0.65865,0.37586,1.54756,1.58252,1.68001,0.0009307,0.0009307,0.0009307
9,2113.55,1.48056,1.68302,1.5902,0.76496,0.56882,0.68386,0.32584,1.66152,1.65631,1.79864,0.0009208,0.0009208,0.0009208
10,2355.72,1.4584,1.61135,1.56738,0.71865,0.56458,0.60742,0.35146,1.51697,1.4661,1.60183,0.0009109,0.0009109,0.0009109
11,2601.29,1.45753,1.61269,1.57613,0.66002,0.68219,0.68211,0.36031,1.60357,1.68405,1.67708,0.000901,0.000901,0.000901
12,2841.45,1.4552,1.57663,1.56333,0.67866,0.68004,0.72695,0.40242,1.54704,1.33581,1.5924,0.0008911,0.0008911,0.0008911
13,3423.66,1.44212,1.55751,1.5532,0.51078,0.73923,0.67942,0.34325,1.65897,1.51582,1.73293,0.0008812,0.0008812,0.0008812
14,4013.34,1.42289,1.52599,1.54047,0.81328,0.67889,0.70003,0.38927,1.55468,1.319,1.61909,0.0008713,0.0008713,0.0008713
15,4500.18,1.43114,1.52532,1.54564,0.62911,0.80837,0.77151,0.40575,1.54054,1.44854,1.67492,0.0008614,0.0008614,0.0008614
16,4714.5,1.44225,1.52146,1.55786,0.62247,0.67842,0.72493,0.4143,1.52372,1.32406,1.65702,0.0008515,0.0008515,0.0008515
17,4931.1,1.40891,1.48743,1.53747,0.70392,0.72279,0.74535,0.42045,1.57169,1.37454,1.6548,0.0008416,0.0008416,0.0008416
18,5148.34,1.41398,1.50196,1.54796,0.75998,0.61715,0.73078,0.40303,1.56313,1.40844,1.67147,0.0008317,0.0008317,0.0008317
19,5364.71,1.41198,1.46117,1.53909,0.65153,0.68931,0.7047,0.38947,1.5219,1.38812,1.6831,0.0008218,0.0008218,0.0008218
20,5580.76,1.40609,1.45179,1.52591,0.79546,0.60043,0.67173,0.37578,1.57039,1.36069,1.64697,0.0008119,0.0008119,0.0008119
21,5798.44,1.39801,1.4468,1.52971,0.64808,0.70487,0.70226,0.42287,1.42194,1.3493,1.51236,0.000802,0.000802,0.000802
22,6016.58,1.38484,1.40463,1.50942,0.82213,0.67478,0.7129,0.41355,1.58755,1.33933,1.64314,0.0007921,0.0007921,0.0007921
23,6241.21,1.39934,1.40962,1.52393,0.58108,0.77202,0.72977,0.42175,1.50538,1.20652,1.5678,0.0007822,0.0007822,0.0007822
